storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_3day,ap_5day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
182,3,5/10/94 23:10,5/11/94 4:20,1,0.378,0.828,0.738,0.596,0.314,0.173,0.861,5.167,0.073,0,0,0.008,77,40,62,0.45,0,0,P,,,1,,5/10/94,5/12/94,5,1994,4.36,7.91,2.64,2.61,2.66,0.89,1.54,2.78,0.93,1.08,1.4,0.47,5.8,15.2,5.07,1.2,1.4,0.47,0,0.38
183,4,5/14/94 11:30,5/15/94 5:55,1,0.392,0.636,0.492,0.444,0.356,0.266,0.957,18.417,0.021,0,0,0.378,77,47,63,0.3,0,0,P,,,1,,5/14/94,5/17/94,5,1994,2.95,7.05,1.76,1.68,2.69,0.67,1.04,2.73,0.68,0.54,1.07,0.27,5.1,18.9,4.73,0.6,1.5,0.38,0,0.39
184,4,5/23/94 13:10,5/25/94 19:55,2,0.618,0.492,0.402,0.372,0.25,0.213,0.974,54.75,0.011,0,0.083,0.083,84,45,65,0.51,0,0,P,,,1,,5/23/94,5/26/94,5,1994,1.48,4.71,1.18,0.57,1.19,0.3,0.56,2.13,0.53,0.23,0.63,0.16,4.5,17.8,4.45,0.4,1.2,0.3,0,0.62
185,3,5/30/94 19:30,5/30/94 23:15,1,0.471,2.04,1.668,1.376,0.798,0.432,3.333,3.75,0.126,0,0.008,0.021,87,54,71,0.12,0,0,P,,,1,,5/30/94,6/1/94,5,1994,2.8,6.78,2.26,2.09,3.45,1.15,0.96,2.03,0.68,0.6,1.05,0.35,4.5,12.9,4.3,0.7,1.4,0.47,0,0.47
186,3,6/5/94 1:50,6/5/94 15:10,1,0.723,1.044,0.738,0.504,0.298,0.211,1.485,13.333,0.054,0,0,0.003,87,61,73,0.41,0,0,P,,,1,,6/5/94,6/7/94,6,1994,3.47,7.43,2.48,2.42,3.5,1.17,1.06,1.99,0.66,0.77,0.98,0.33,5.1,13.9,4.63,1.5,1.7,0.57,0,0.72
187,5,6/12/94 21:40,6/13/94 6:00,1,0.393,0.468,0.384,0.34,0.28,0.212,0.746,8.333,0.047,0,0.057,0.057,94,57,80,0.47,0,0,P,,,1,,6/12/94,6/16/94,6,1994,3.06,8.33,1.67,2.33,3.48,0.7,1.69,4.97,0.99,1.38,2.16,0.43,4.6,19.6,3.92,0.8,1,0.2,0,0.39
188,2,6/23/94 3:30,6/23/94 12:40,1,0.569,0.456,0.348,0.272,0.256,0.164,0.927,9.167,0.062,0,0.023,0.148,83,62,72,0.61,0,0,P,,,1,,6/23/94,6/24/94,6,1994,3.21,5.74,2.87,2.29,2.5,1.25,1.41,2.4,1.2,0.62,0.74,0.37,4.2,7.9,3.95,0.9,1.1,0.55,0,0.57
189,4,6/25/94 20:55,6/26/94 7:50,1,0.428,1.332,0.804,0.616,0.34,0.223,1.149,10.917,0.039,0,0.569,0.569,85,59,72,0.15,0,0,P,,,1,,6/25/94,6/28/94,6,1994,3.8,11.28,2.82,1.48,2.06,0.52,1.37,4.14,1.04,0.5,0.82,0.21,4.2,15.1,3.78,0.7,0.7,0.18,0,0.43
190,1,7/5/94 5:35,7/5/94 15:20,1,0.412,2.064,1.476,1.22,0.638,0.324,2.308,9.75,0.042,0.041,0.068,0.068,90,69,80,0.81,0,0,P,,,1,,7/5/94,7/5/94,7,1994,2.62,2.62,2.62,1.54,1.54,1.54,0.59,0.59,0.59,0.34,0.34,0.34,4.4,4.4,4.4,0.9,1,0.5,0,0.41
191,5,7/6/94 3:15,7/8/94 0:45,2,1.987,1.44,1.23,0.976,0.696,0.452,9.603,45.5,0.044,0.412,0.48,0.48,86,57,72,2.76,0,0,P,,,1,,7/6/94,7/10/94,7,1994,36.19,78.28,15.66,32.11,61.1,12.22,12.97,21.84,4.37,12.01,17.98,3.6,7,27.6,5.52,2.2,5,1,0,1.99
192,2,7/24/94 15:40,7/24/94 17:35,1,0.249,0.912,0.876,0.652,0.386,0.196,0.784,1.917,0.13,0,0,0.07,85,66,74,0,0,0,P,,,1,,7/24/94,7/25/94,7,1994,0.8,1.54,0.77,0.07,0.08,0.04,0.1,0.19,0.1,0.01,0.01,0.01,3.5,6.9,3.45,0.1,0.1,0.05,0,0.25
193,4,8/3/94 15:15,8/4/94 0:55,1,0.671,1.992,1.554,1.264,1.06,0.57,6.274,9.667,0.069,0,0.047,0.047,85,48,68,0.1,0,0,P,,,1,,8/3/94,8/6/94,8,1994,2.35,7.59,1.9,1.61,3.25,0.81,0.47,1.15,0.29,0.37,0.61,0.15,4.1,15.6,3.9,0.7,1.2,0.3,0,0.67
