date	phos_tot	phos_storm	solids_tot	solids_storm	q_tot	q_storm
7/29/91	0	0	0	0	0	0
7/30/91	0	0	0	0	0	0
7/31/91	0	0	0	0	0	0
8/1/91	0	0	0	0	0	0
8/2/91	0	0	0	0	0	0
8/3/91	0	0	0	0	0	0
8/4/91	0	0	0	0	0	0
8/5/91	0	0	0	0	0	0
8/6/91	0	0	0	0	0	0
8/7/91	0	0	0	0	0	0
8/8/91	0	0	0	0	0	0
8/9/91	0	0	0	0	0	0
8/10/91	0	0	0	0	0	0
8/11/91	0	0	0	0	0	0
8/12/91	0	0	0	0	0	0
8/13/91	0	0	0	0	0	0
8/14/91	0	0	0	0	0	0
8/15/91	0	0	0	0	0	0
8/16/91	0	0	0	0	0	0
8/17/91	0	0	0	0	0	0
8/18/91	0	0	0	0	0	0
8/19/91	0	0	0	0	0	0
8/20/91	0	0	0	0	0	0
8/21/91	0	0	0	0	0	0
8/22/91	0	0	0	0	0	0
8/23/91	0	0	0	0	0	0
8/24/91	0	0	0	0	0	0
8/25/91	0	0	0	0	0	0
8/26/91	0	0	0	0	0	0
8/27/91	0	0	0	0	0	0
8/28/91	0	0	0	0	0	0
8/29/91	0	0	0	0	0	0
8/30/91	0	0	0	0	0	0
8/31/91	0	0	0	0	0	0
9/1/91	0	0	0	0	0	0
9/2/91	0	0	0	0	0	0
9/3/91	0	0	0	0	0	0
9/4/91	0	0	0	0	0	0
9/5/91	0	0	0	0	0	0
9/6/91	0	0	0	0	0	0
9/7/91	0	0	0	0	0	0
9/8/91	0	0	0	0	0	0
9/9/91	0	0	0	0	0	0
9/10/91	0	0	0	0	0	0
9/11/91	0	0	0	0	0	0
9/12/91	0	0	0	0	0	0
9/13/91	0	0	0	0	0	0
9/14/91	0	0	0	0	0	0
9/15/91	0	0	0	0	0	0
9/16/91	0	0	0	0	0	0
9/17/91	0	0	0	0	0	0
9/18/91	0	0	0	0	0	0
9/19/91	0	0	0	0	0	0
9/20/91	0	0	0	0	0	0
9/21/91	0	0	0	0	0	0
9/22/91	0	0	0	0	0	0
9/23/91	0	0	0	0	0	0
9/24/91	0	0	0	0	0	0
9/25/91	0	0	0	0	0	0
9/26/91	0	0	0	0	0	0
9/27/91	0	0	0	0	0	0
9/28/91	0	0	0	0	0	0
9/29/91	0	0	0	0	0	0
9/30/91	0	0	0	0	0	0
10/1/91	0	0	0	0	0	0
10/2/91	0	0	0	0	0	0
10/3/91	0	0	0	0	0	0
10/4/91	0	0	0	0	0	0
10/5/91	0	0	0	0	0	0
10/6/91	0	0	0	0	0	0
10/7/91	0	0	0	0	0	0
10/8/91	0	0	0	0	0	0
10/9/91	0	0	0	0	0	0
10/10/91	0	0	0	0	0	0
10/11/91	0	0	0	0	0	0
10/12/91	0	0	0	0	0	0
10/13/91	0	0	0	0	0	0
10/14/91	0	0	0	0	0	0
10/15/91	0	0	0	0	0	0
10/16/91	0	0	0	0	0	0
10/17/91	0	0	0	0	0	0
10/18/91	0	0	0	0	0	0
10/19/91	0	0	0	0	0	0
10/20/91	0	0	0	0	0	0
10/21/91	0	0	0	0	0	0
10/22/91	0	0	0	0	0	0
10/23/91	0	0	0	0	0	0
10/24/91	0	0	0	0	0	0
10/25/91	0	0	0	0	0	0
10/26/91	0	0	0	0	0	0
10/27/91	0	0	0	0	0	0
10/28/91	0	0	0	0	0	0
10/29/91	8.8	0	0.72	0.6	2.5	0
10/30/91	41.5	32.7	0.99	0.87	7.4	4.9
10/31/91	12.58	3.78	0.12	0	2.5	0
11/1/91	11.52	0	0.07	0	2.1	0
11/2/91	55.53	44.01	0.42	0.35	5.8	3.7
11/3/91	27.04	15.52	0.2	0.13	3	0.9
11/4/91	15.91	8.27	0.12	0.07	1.9	0.9
11/5/91	9.72	2.08	0.07	0.02	1.2	0.2
11/6/91	7.64	0	0.05	0	1	0
11/7/91	5.17	3.12	0.04	0.03	0.74	0.41
11/8/91	3.6	1.55	0.02	0.01	0.55	0.22
11/9/91	2.05	0	0.01	0	0.33	0
11/10/91	1.55	0.19	0.01	0	0.27	0
11/11/91	1.45	0.09	0.01	0	0.27	0
11/12/91	1.36	0	0.01	0	0.27	0
11/13/91	1.28	0	0.01	0	0.27	0
11/14/91	1.83	0.55	0.01	0	0.41	0.14
11/15/91	7.4	6.12	0.04	0.03	1.8	1.53
11/16/91	13.29	3.1	0.08	0.01	3.4	0.4
11/17/91	10.19	0	0.07	0	3	0
11/18/91	11.52	1.33	0.09	0.02	3.7	0.7
11/19/91	18.21	11.75	0.13	0.09	5.8	3.5
11/20/91	11.07	4.61	0.07	0.03	4	1.7
11/21/91	6.46	0	0.04	0	2.3	0
11/22/91	4.58	0	0.03	0	1.7	0
11/23/91	17	12.42	0.15	0.12	5.5	3.8
11/24/91	60	55.42	1.4	1.37	17	15.3
11/25/91	18	13.47	0.16	0.13	5.7	4.1
11/26/91	6.5	1.97	0.06	0.03	2.3	0.7
11/27/91	4.53	0	0.03	0	1.6	0
11/28/91	2.95	0	0.02	0	1.1	0
11/29/91	3.48	0.53	0.02	0	1.2	0.1
11/30/91	500.74	497.79	58.89	58.87	95	93.9
12/1/91	76.87	69.71	4.36	4.23	21	18.3
12/2/91	19.11	11.95	0.34	0.21	6.4	3.7
12/3/91	7.16	0	0.13	0	2.7	0
12/4/91	5.02	1.18	0.08	0.03	1.9	0.4
12/5/91	4.42	0.58	0.06	0.01	1.7	0.2
12/6/91	3.84	0	0.05	0	1.5	0
12/7/91	3.24	0	0.04	0	1.3	0
12/8/91	3.72	0.48	0.04	0	1.5	0.2
12/9/91	8.71	5.47	0.08	0.04	3.4	2.1
12/10/91	10.86	0	0.09	0.01	4.3	0
12/11/91	10.97	0.11	0.08	0	4.4	0.1
12/12/91	386.36	375.5	46.64	46.56	81	76.7
12/13/91	293.62	282.76	16.55	16.44	77	72.5
12/14/91	63.39	52.53	1.18	1.07	22	17.5
12/15/91	10.86	0	0.11	0	4.5	0
12/16/91	5.71	3.09	0.08	0.04	2.6	1.4
12/17/91	3.47	0.85	0.05	0.01	1.6	0.4
12/18/91	2.62	0	0.04	0	1.2	0
12/19/91	2.19	0.64	0.03	0.01	1	0.3
12/20/91	1.76	0.21	0.03	0.01	0.8	0.1
12/21/91	1.55	0	0.02	0	0.7	0
12/22/91	1.34	0.28	0.02	0	0.6	0.13
12/23/91	1.16	0.1	0.02	0	0.52	0.05
12/24/91	1.06	0	0.02	0	0.47	0
12/25/91	0.97	0.17	0.01	0	0.43	0.08
12/26/91	0.86	0.06	0.01	0	0.38	0.03
12/27/91	0.8	0	0.01	0	0.35	0
12/28/91	0.74	0.04	0.01	0	0.32	0.02
12/29/91	0.7	0	0.01	0	0.3	0
12/30/91	0.7	0	0.01	0	0.3	0
12/31/91	0.73	0	0.01	0	0.31	0
1/1/92	0.76	0.03	0.01	0	0.32	0.01
1/2/92	0.77	0.04	0.01	0	0.33	0.02
1/3/92	3.4	0	0.03	0	1.3	0
1/4/92	19	15.6	0.17	0.14	6	4.7
1/5/92	9.71	6.31	0.14	0.11	4.1	2.8
1/6/92	6.39	2.51	0.09	0.04	2.7	1.1
1/7/92	3.88	0	0.05	0	1.6	0
1/8/92	16	12.12	0.15	0.1	5.3	3.7
1/9/92	160	140	8.4	8.22	41	34.6
1/10/92	68	48	1.8	1.62	19	12.6
1/11/92	20	0	0.18	0	6.4	0
1/12/92	18	0	0.16	0	5.7	0
1/13/92	84	66	2.6	2.44	23	17.3
1/14/92	22	4	0.2	0.04	7	1.3
1/15/92	6.5	3.44	0.06	0.02	2.3	1.1
1/16/92	4.31	1.25	0.06	0.02	1.7	0.5
1/17/92	3.06	0	0.04	0	1.2	0
1/18/92	1.92	0.7	0.03	0.01	0.75	0.28
1/19/92	1.55	0.33	0.02	0	0.6	0.13
1/20/92	1.22	0	0.02	0	0.47	0
1/21/92	1.03	0.27	0.01	0	0.4	0.1
1/22/92	0.89	0.13	0.01	0	0.35	0.05
1/23/92	0.76	0	0.01	0	0.3	0
1/24/92	0.67	0.13	0.01	0	0.27	0.05
1/25/92	0.59	0.05	0.01	0	0.24	0.02
1/26/92	0.54	0	0.01	0	0.22	0
1/27/92	0.46	0.06	0.01	0.01	0.19	0.02
1/28/92	0.43	0.03	0.01	0.01	0.18	0.01
1/29/92	0.4	0	0	0	0.17	0
1/30/92	0.41	0	0	0	0.17	0
1/31/92	0.48	0.07	0.01	0.01	0.21	0.04
2/1/92	0.71	0.3	0.01	0.01	0.31	0.14
2/2/92	1.28	0	0.01	0	0.56	0
2/3/92	1.89	0.61	0.02	0.01	0.83	0.27
2/4/92	2.48	1.2	0.03	0.02	1.1	0.54
2/5/92	3.35	2.26	0.03	0.02	1.5	1
2/6/92	1.55	0.46	0.02	0.01	0.7	0.2
2/7/92	1.09	0	0.01	0	0.5	0
2/8/92	0.87	0.34	0.01	0.01	0.4	0.15
2/9/92	0.64	0.11	0.01	0.01	0.3	0.05
2/10/92	0.53	0	0	0	0.25	0
2/11/92	0.44	0.08	0	0	0.21	0.03
2/12/92	0.41	0.05	0	0	0.2	0.02
2/13/92	0.36	0	0	0	0.18	0
2/14/92	0.33	0.01	0	0	0.17	0
2/15/92	0.32	0	0	0	0.17	0
2/16/92	0.32	0	0	0	0.17	0
2/17/92	0.28	0	0	0	0.16	0
2/18/92	0.33	0.05	0	0	0.19	0.03
2/19/92	0.35	0.07	0	0	0.2	0.04
2/20/92	0.43	0.02	0	0	0.25	0
2/21/92	0.44	0.03	0	0	0.27	0.02
2/22/92	0.41	0	0	0	0.25	0
2/23/92	1.62	0	0.01	0	1	0
2/24/92	3.37	1.75	0.03	0.02	1.9	0.9
2/25/92	4.67	3.05	0.05	0.04	2.3	1.3
2/26/92	5.11	0	0.07	0	2.2	0
2/27/92	27.2	22.09	0.57	0.5	10	7.8
2/28/92	206.31	201.2	7.24	7.17	55	52.8
2/29/92	86.37	0	2.17	0	21	0
3/1/92	173.73	87.36	8.5	6.33	34	13
3/2/92	157.19	70.82	4.46	2.29	25	4
3/3/92	120.73	0	4.88	0	20	0
3/4/92	162.61	41.88	11.83	6.95	27	7
3/5/92	216.31	95.58	28.32	23.44	36	16
3/6/92	768.28	702.29	134.24	129.61	140	120
3/7/92	128.16	62.17	8.79	4.16	37	17
3/8/92	65.99	0	4.63	0	20	0
3/9/92	489.71	462.18	79	77.58	100	91.2
3/10/92	67.03	39.5	5	3.58	18	9.2
3/11/92	27.53	0	1.42	0	8.8	0
3/12/92	14.19	10.11	0.5	0.43	5.4	3.2
3/13/92	7.29	3.21	0.18	0.11	3.3	1.1
3/14/92	4.08	0	0.07	0	2.2	0
3/15/92	2.84	0	0.03	0	1.8	0
3/16/92	9.09	6.25	0.09	0.06	5.7	3.9
3/17/92	27.15	24.31	0.27	0.24	16	14.2
3/18/92	16.98	9.62	0.16	0.09	9.4	5.8
3/19/92	9.8	2.44	0.09	0.02	5.1	1.5
3/20/92	7.36	0	0.07	0	3.6	0
3/21/92	4.79	1.57	0.04	0.01	2.2	0.9
3/22/92	3.43	0.21	0.03	0	1.5	0.2
3/23/92	3.22	0	0.03	0	1.3	0
3/24/92	4.27	0	0.03	0	1.6	0
3/25/92	11.94	7.67	0.09	0.06	4.3	2.7
3/26/92	12.3	8.03	0.09	0.06	4.3	2.7
3/27/92	9.71	0	0.08	0	4	0
3/28/92	11.89	2.18	0.11	0.03	6.2	2.2
3/29/92	21.76	12.05	0.36	0.28	13	9
3/30/92	85.46	17.81	4.56	0	29	8
3/31/92	101.04	33.39	6.88	2.32	33	12
4/1/92	67.65	0	4.85	0.29	21	0
4/2/92	9.14	3.41	0.13	0.07	5.5	1.7
4/3/92	5.75	0.02	0.06	0	3.8	0
4/4/92	5.73	0	0.06	0	3.8	0
4/5/92	5.26	0.58	0.06	0.01	3.5	0.4
4/6/92	4.68	0	0.05	0	3.1	0
4/7/92	6.93	2.25	0.07	0.02	4.6	1.5
4/8/92	8.63	3.15	0.09	0.02	5.7	2.1
4/9/92	6.49	1.01	0.07	0	4.3	0.7
4/10/92	5.48	0	0.07	0	3.6	0
4/11/92	237.96	207.16	51.77	51.09	61	44
4/12/92	173.73	142.93	22.53	21.85	61	44
4/13/92	30.8	0	0.68	0	17	0
