storm_num,num_days,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_2day,ap_3day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,julian,sinJulian,cosJulian,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,logptotmax,logptottot,logptotavg,logpstormmax,logpstormtot,logpstormavg,logstotmax,logstottot,logstotavg,logsstormmax,logsstormtot,logsstormavg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
122,6,na,na,na,na,na,na,na,na,na,na,na,na,na,39,5,24,0.39,5.3,2,P,S,M,3,12.08,68,0.920971288,0.38963045,3,1993,33,81.7,13.62,4.4,10.7,1.78,3.2,7.62,1.27,0.42,1.02,0.17,1.518645524,1.91227521,1.134495856,0.644438589,1.029789471,0.252853031,0.506505032,0.882524538,0.10720997,-0.366531544,0.012837225,-0.744727495,16,61,10.17,2,5,0.83,0.24,0.24
123,3,na,na,na,na,na,na,na,na,na,na,na,na,na,42,3,25,0.09,0,3,P,,M,5,10,74,0.956234827,0.292600336,3,1993,120,169.6,56.53,103,128,42.67,14,18.28,6.09,12.9,15.4,5.13,2.079217436,2.229451454,1.752355804,2.012879387,2.107243898,1.630224411,1.146438135,1.262213705,0.785329835,1.110926242,1.187802639,0.710963119,70,118,39.33,45,60,20,0.3,0.3
125,3,na,na,na,na,na,na,na,na,na,na,na,na,na,54,30,40,0,0,Z,,,M,6,,86,0.995918996,0.09025161,3,1993,56.17,150.65,50.22,17.68,28.87,9.62,4.79,12.66,4.22,2.21,4.48,1.49,1.749581735,2.177997963,1.700963178,1.247727833,1.460597189,0.983626287,0.681241237,1.102776615,0.626340367,0.346352974,0.652246341,0.176091259,45,132,44,7,13,4.33,na,na
126,3,na,na,na,na,na,na,na,na,na,na,na,na,na,52,25,40,0.45,3,U,P,S,M,3,22.5,89,0.999250011,0.038722281,3,1993,32.8,74.45,24.82,13.83,18.72,6.24,2.09,4.03,1.34,0.37,0.6,0.2,1.51600623,1.871923032,1.39497672,1.14113609,1.272537777,0.795880017,0.322219295,0.606381365,0.130333768,-0.420216403,-0.214670165,-0.677780705,38,95,31.67,15,21,7,na,na
153,6,na,na,na,na,na,na,na,na,na,na,na,na,na,40,12,27,0.22,3,4,P,S,M,3,18.17,43,0.674443619,0.738326354,2,1994,5.13,11.4,1.9,3.84,5.11,0.85,0.25,0.79,0.13,0.14,0.19,0.03,0.710963119,1.057285644,0.281033367,0.58546073,0.709269961,-0.065501549,-0.585026652,-0.096910013,-0.853871964,-0.823908741,-0.698970004,-1.397940009,6.2,21,3.5,3.2,4.5,0.75,0.73,0.73
155,4,na,na,na,na,na,na,na,na,na,na,na,na,na,35,10,21,1.22,12.9,1.9,P,S,M,3,15.2,53,0.790945657,0.611886401,2,1994,167.76,500.26,125.06,118.38,179.36,44.84,4.57,13.51,3.38,2.96,4.07,1.02,2.224714305,2.69920446,2.09715315,2.073315021,2.253749808,1.651762447,0.660865478,1.130976692,0.530199698,0.472756449,0.610660163,0.012837225,72,218,54.5,53,108,27,0.29,0.29
156,2,na,na,na,na,na,na,na,na,na,na,na,na,na,26,2,13,0.19,0.5,U,P,S,M,3,12.37,57,0.831170626,0.556017437,2,1994,49.38,79.58,39.79,2.08,2.08,1.04,1.61,2.68,1.34,0,0,0,1.693639026,1.900858505,1.599883072,0.320146286,0.320146286,0.021189299,0.209515015,0.42975228,0.130333768,-2,-2,-2,19,30,15,1.5,1.5,0.75,na,na
157,4,na,na,na,na,na,na,na,na,na,na,na,na,na,51,10,29,0,0,5.4,,,M,5,17.26,60,0.858763958,0.512371412,3,1994,90.18,187.24,46.81,59.78,67.92,16.98,4.99,9.54,2.38,3.58,4.23,1.06,1.955158387,2.272421826,1.670431409,1.776628553,1.832061615,1.230193379,0.698970004,0.980003372,0.378397901,0.555094449,0.627365857,0.029383778,25,54.9,13.73,15.6,17.2,4.3,0.93,0.93
159,2,na,na,na,na,na,na,na,na,na,na,na,na,na,48,20,34,0,0,Z,,,M,6,,70,0.933837229,0.357698239,3,1994,21.81,38.59,19.29,8.99,12.95,6.48,1.51,2.73,1.36,0.53,0.77,0.39,1.338854746,1.586587305,1.285557309,0.954242509,1.112605002,0.812244697,0.181843588,0.437750563,0.136720567,-0.26760624,-0.107905397,-0.397940009,13,25,12.5,2,3,1.5,na,na
160,3,na,na,na,na,na,na,na,na,na,na,na,na,na,49,26,37,0,0,Z,,,M,6,,72,0.945596387,0.325342085,3,1994,12.82,34.99,11.66,4.23,7.33,2.44,0.98,2.8,0.93,0.28,0.51,0.17,1.108226656,1.544068044,1.067070856,0.627365857,0.86569606,0.389166084,-0.004364805,0.44870632,-0.026872146,-0.537602002,-0.283996656,-0.744727495,13,36,12,2,3,1,na,na
162,17,na,na,na,na,na,na,na,na,na,na,na,na,na,62,19,38,0.43,1.5,Z,P,S,M,6,,85,0.994217907,0.107381347,3,1994,3.47,37.7,2.22,0.6,2.28,0.13,0.35,2.99,0.18,0.07,0.3,0.02,0.541579244,1.576456532,0.348304863,-0.214670165,0.359835482,-0.853871964,-0.443697499,0.477121255,-0.721246399,-1.096910013,-0.508638306,-1.522878745,11,129.3,7.61,1.7,6.1,0.36,na,na
187,3,na,na,na,na,na,na,na,na,na,na,na,na,na,46,19,34,0.58,5.5,U,P,S,M,3,20,339,-0.432775593,0.901501684,12,1994,1.1,3.21,1.07,0.09,0.2,0.07,0.11,0.32,0.11,0.01,0.01,0,0.045322979,0.507855872,0.033423755,-1,-0.677780705,-1.096910013,-0.920818754,-0.48148606,-0.920818754,-1.698970004,-1.698970004,-2,3.6,10.5,3.5,0.4,0.7,0.23,na,na
188,2,na,na,na,na,na,na,na,na,na,na,na,na,na,36,14,28,0,0,2,,,M,5,19.75,343,-0.369724543,0.929141411,12,1994,0.96,1.87,0.94,0.07,0.09,0.05,0.11,0.22,0.11,0,0,0,-0.013228266,0.274157849,-0.022276395,-1.096910013,-1,-1.22184875,-0.920818754,-0.638272164,-0.920818754,-2,-2,-2,3,5.8,2.9,0.3,0.4,0.2,0.4,0.4
