date	phos_tot	solids_tot	q_tot	phos_storm	solids_storm	q_storm
10/6/2006	1.14	0.09	4.5	0	0	0
10/7/2006	1.09	0.08	4.39	0.05	0	0.08
10/8/2006	1.05	0.08	4.31	0.01	0	0
10/9/2006	1.04	0.08	4.34	0	0	0.03
10/10/2006	1.05	0.08	4.49	0	0	0
10/11/2006	1.41	0.09	4.89	0.36	0.01	0.4
10/12/2006	1.27	0.09	4.77	0.22	0.01	0.28
10/13/2006	1.21	0.09	4.72	0.08	0.01	0.1
10/14/2006	1.17	0.09	4.69	0.04	0.01	0.07
10/15/2006	1.13	0.08	4.62	0	0	0
10/16/2006	1.23	0.09	5.17	0.14	0.01	0.35
10/17/2006	1.18	0.09	5.1	0.09	0.01	0.28
10/18/2006	1.09	0.08	4.82	0	0	0
10/19/2006	1.01	0.08	4.59	0.06	0	0.07
10/20/2006	0.98	0.08	4.54	0.03	0	0.02
10/21/2006	0.95	0.08	4.52	0	0	0
10/22/2006	0.91	0.07	4.47	0.05	0	0.05
10/23/2006	0.9	0.07	4.5	0.04	0	0.08
10/24/2006	0.86	0.07	4.42	0	0	0
10/25/2006	0.88	0.08	4.62	0	0	0
10/26/2006	0.88	0.08	4.65	0	0	0.03
10/27/2006	0.9	0.08	4.71	0.02	0	0.09
10/28/2006	0.88	0.08	4.61	0.01	0	0.04
10/29/2006	0.87	0.08	4.57	0	0	0
10/30/2006	0.9	0.08	4.68	0.03	0	0.11
10/31/2006	0.86	0.08	4.5	0	0	0.01
11/1/2006	0.86	0.08	4.49	0	0	0
11/2/2006	0.88	0.08	4.54	0.02	0	0.05
11/3/2006	0.88	0.08	4.53	0	0	0
11/4/2006	0.92	0.09	4.75	0.04	0.01	0.22
11/5/2006	0.92	0.09	4.75	0.04	0.01	0.22
11/6/2006	0.93	0.09	4.75	0	0	0
11/7/2006	0.93	0.09	4.77	0	0	0.02
11/8/2006	0.93	0.09	4.75	0	0	0
11/9/2006	0.92	0.09	4.68	0	0	0
11/10/2006	0.98	0.1	4.95	0.06	0.01	0.27
11/11/2006	1	0.11	5.07	0.08	0.02	0.39
11/12/2006	1.01	0.11	5.11	0	0	0
11/13/2006	5.04	0.25	6.12	4.03	0.14	1.01
11/14/2006	4.46	0.2	5.88	3.45	0.09	0.77
11/15/2006	4.18	0.18	5.75	3.08	0.05	0.25
11/16/2006	1.13	0.13	5.65	0.03	0	0.15
11/17/2006	1.1	0.13	5.5	0	0	0
11/18/2006	1.08	0.12	5.39	0.06	0	0.36
11/19/2006	1.06	0.12	5.24	0.04	0	0.21
11/20/2006	1.02	0.12	5.03	0	0	0
11/21/2006	1.03	0.12	5.08	0	0	0
11/22/2006	1.07	0.13	5.25	0.04	0.01	0.17
11/23/2006	1.07	0.13	5.25	0.04	0.01	0.17
11/24/2006	1.07	0.13	5.25	0	0	0.01
11/25/2006	1.08	0.13	5.25	0.01	0	0.01
11/26/2006	1.08	0.14	5.24	0.01	0.01	0
11/27/2006	1.13	0.14	5.47	0	0	0
11/28/2006	11	0.2	7.51	9.87	0.06	2.04
11/29/2006	29	0.27	9.82	27.87	0.13	4.35
11/30/2006	7.5	5.5	6.84	3.6	5.19	1.12
12/1/2006	5.7	0.51	6.26	1.8	0.2	0.54
12/2/2006	3.9	0.31	5.72	0	0	0
12/3/2006	1.16	0.16	5.53	0.06	0.01	0.33
12/4/2006	1.11	0.16	5.3	0.01	0.01	0.1
12/5/2006	1.1	0.15	5.2	0	0	0
12/6/2006	1.15	0.14	5.11	0.08	0.02	0.71
12/7/2006	1.07	0.12	4.4	0	0	0
12/8/2006	1.2	0.12	4.61	0.13	0	0.21
12/9/2006	1.35	0.12	4.84	0	0.01	0
12/10/2006	1.47	0.11	4.91	0.12	0	0.07
12/11/2006	1.56	0.11	4.87	0.21	0	0.03
12/12/2006	2.02	0.12	5.88	0.06	0.02	0.58
12/13/2006	1.96	0.11	5.3	0	0.01	0
12/14/2006	2.12	0.1	5.35	0.16	0	0.05
12/15/2006	2.25	0.1	5.29	0	0.02	0.13
12/16/2006	2.39	0.09	5.25	0.14	0.01	0.09
12/17/2006	2.52	0.08	5.16	0.27	0	0
12/18/2006	2.62	0.08	5	0	0.01	0.06
12/19/2006	2.78	0.07	4.94	0.16	0	0
12/20/2006	3.02	0.07	5	0.4	0	0.06
12/21/2006	19.8	2.18	8.11	16.69	1.99	2.11
12/22/2006	5.14	0.22	6.55	2.03	0.03	0.55
12/23/2006	3.11	0.19	6	0	0	0
12/24/2006	2.89	0.2	5.77	0.36	0	0.39
12/25/2006	2.71	0.21	5.58	0.18	0.01	0.2
12/26/2006	2.53	0.23	5.38	0	0.03	0
12/27/2006	2.39	0.25	5.25	0.15	0	0
12/28/2006	2.31	0.28	5.25	0.07	0.03	0
12/29/2006	2.24	0.31	5.25	0	0.06	0
12/30/2006	2.5	0.4	5.45	0	0	0
12/31/2006	28.3	7.78	11.16	25.8	7.38	5.71
1/1/2007	12.6	3.48	8.55	10.1	3.08	3.1
1/2/2007	5.59	0.73	7.19	3.43	0.56	0.25
1/3/2007	3.32	0.3	6.94	1.16	0.13	0
1/4/2007	2.16	0.17	7.03	0	0	0.09
