storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_2day,ap_3day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
135,4,10/20/1993 17:55,10/21/1993 0:05,1,0.325,0.204,0.174,0.148,0.132,0.132,0.245,6.167,0.053,0,0,0.009,75,29,49,0.38,0,0,P,0,0,1,,10/20/1993,10/23/1993,10,1993,8.16,26.82,6.71,2.21,4.52,1.13,3.42,10.21,2.55,1.32,2.71,0.68,13,49,12.25,1,1,0.25,0,0.33
136,3,11/9/1993 16:50,11/10/1993 10:00,1,0.206,0.144,0.114,0.108,0.094,0.077,0.098,17.167,0.012,0,0.006,0.058,47,19,36,0.18,0,0,P,0,0,1,,11/9/1993,11/11/1993,11,1993,3.24,9.43,3.14,0.19,0.28,0.09,0.84,2.45,0.82,0.05,0.08,0.03,12,35,11.67,1,1,0.33,0,0.21
137,5,11/12/1993 17:55,11/13/1993 13:50,1,0.324,0.168,0.15,0.14,0.114,0.089,0.191,19.917,0.016,0,0.201,0.206,51,26,37,0.49,0,0,P,0,0,1,,11/12/1993,11/16/1993,11,1993,7.15,22.67,4.53,3.4,4,0.8,1.87,6.27,1.25,0.91,1.22,0.24,14,62,12.4,2,2,0.4,0,0.32
138,4,,,,,,,,,,,,,,,,34,11,24,0.49,3,U,P,S,M,3,13.31%,11/25/1993,11/28/1993,11,1993,3.46,13.55,3.39,0.12,0.26,0.06,1.03,4.05,1.01,0.03,0.09,0.02,11,44,11,0,0,0,NA,NA
139,4,,,,,,,,,,,,,,,,40,27,33,0.02,0,N,P,0,M,3,8.62%,12/1/1993,12/4/1993,12,1993,3.39,13.38,3.34,0.21,0.33,0.08,1.02,4.04,1.01,0.06,0.1,0.03,12,47,11.75,0,0,0,NA,NA
140,3,,,,,,,,,,,,,,,,50,31,40,0.21,0,N,P,0,M,3,,12/13/1993,12/15/1993,12,1993,3.47,9.93,3.31,0.35,0.52,0.17,1.07,3.07,1.02,0.11,0.17,0.06,12,35,11.67,1,2,0.67,NA,NA
141,3,,,,,,,,,,,,,,,,38,30,34,0.21,0,N,P,0,M,3,,12/17/1993,12/19/1993,12,1993,3.39,10.05,3.35,0.13,0.32,0.11,1.04,3.1,1.03,0.03,0.09,0.03,12,36,12,0,0,0,NA,NA
142,4,,,,,,,,,,,,,,,,28,0,15,0.08,NA,1,P,S,M,3,5.00%,12/21/1993,12/24/1993,12,1993,3.18,11.56,2.89,0.52,1.08,0.27,0.97,3.51,0.88,0.16,0.33,0.08,11,41.6,10.4,0.6,0.8,0.2,0.05,0.05
143,4,,,,,,,,,,,,,,,,38,11,24,0.08,2,N,P,S,M,3,8.26%,12/31/1993,1/3/1994,12,1993,2.72,10.8,2.7,0.18,0.34,0.09,0.8,3.17,0.79,0.05,0.09,0.02,10,40,10,0.6,0.6,0.15,NA,NA
144,2,,,,,,,,,,,,,,,,-7,-24,-16,0.1,NA,N,P,0,M,3,10.43%,1/14/1994,1/15/1994,1,1994,2.4,4.68,2.34,0.12,0.13,0.07,0.67,1.32,0.66,0.03,0.03,0.02,9.4,18.4,9.2,0.4,0.4,0.2,NA,NA
