storm_num,num_days,startdatetime,enddatetime,num_events,theisen,p5max,p10max,p15max,p30max,p60max,ei,duration,intense,ap_1day,ap_3day,ap_5day,tmax,tmin,tmean,nws_prec,nws_snow,melt_snow,p,s,m,event_type,sweq,start_day,end_day,month,year,ptot_max,ptot_tot,ptot_avg,pstorm_max,pstorm_tot,pstorm_avg,stot_max,stot_tot,stot_avg,sstorm_max,sstorm_tot,sstorm_avg,qtot_max,qtot_tot,qtot_avg,qstorm_max,qstorm_tot,qstorm_avg,melt_water,total_water
107,5,4/14/1993 20:40,4/16/1993 0:20,1,0.61,0.12,0.1,0.1,0.09,0.08,0.271,27.667,0.022,0.186,0.192,0.408,65,29,43,1.24,0,0,P,,,1,,4/14/1993,4/18/1993,4,1993,378,1261,252.2,307.46,908.84,181.77,32,98.61,19.72,29.54,87.25,17.45,67,282,56.4,31,88,17.6,0.00,0.61
108,7,4/19/1993 7:20,4/20/1993 10:40,1,0.9,0.28,0.23,0.16,0.14,0.13,0.689,27.333,0.033,0,0.083,0.711,69,33,52,1.11,0,0,P,,,1,,4/19/1993,4/25/1993,4,1993,1040,1988.91,284.13,970,1630.91,232.99,117,162.2,23.17,115.48,153.03,21.86,118,433,61.86,68,235,19.58,0.00,0.90
109,3,4/27/1993 9:35,4/27/1993 22:00,1,0.43,0.18,0.17,0.17,0.11,0.09,0.259,12.417,0.035,0,0,0,71,47,59,0.46,0,0,P,,,1,,4/27/1993,4/29/1993,4,1993,200,252.49,84.16,176.08,178.65,59.55,14,18.35,6.12,11.1,11.52,3.84,47,123,41,12,16,5.33,0.00,0.43
110,5,5/1/1993 5:45,5/4/1993 16:35,2,3.07,0.68,0.61,0.56,0.43,0.34,8.275,82.833,0.037,0,0.032,0.462,72,49,60,3.48,0,0,P,,,1,,5/1/1993,5/5/1993,5,1993,2717.08,3388.14,677.63,2629.73,3078.25,615.65,513.12,609.98,122,503.89,576.49,115.3,229,534,106.8,173,296,59.2,0.00,3.07
111,6,5/6/1993 22:35,5/11/1993 2:35,2,0.7,1.03,0.88,0.82,0.54,0.28,2.016,100,0.007,0,0.311,2.009,84,54,71,0.4,0,0,P,,,1,,5/6/1993,5/11/1993,5,1993,378,951.64,158.61,290.65,502.42,83.74,32,77.55,12.93,22.77,46.17,7.7,67,324,54,11,36,6,0.00,0.70
112,4,5/22/1993 14:20,5/23/1993 18:15,1,0.83,0.49,0.48,0.44,0.31,0.18,1.657,27.917,0.03,0,0.022,0.087,71,45,59,0.8,0,0,P,,,1,,5/22/1993,5/25/1993,5,1993,215,349.8,87.45,179.82,203.63,50.91,16,33.56,8.39,14.99,29.37,7.34,49,167,41.75,16,34,8.5,0.00,0.83
113,5,5/27/1993 0:45,5/30/1993 13:35,2,0.86,0.48,0.44,0.42,0.41,0.28,1.815,84.833,0.01,0,0.006,0.839,77,47,61,1.05,0,0,P,,,1,,5/27/1993,5/31/1993,5,1993,47.53,199.47,39.89,13.8,29.37,5.87,2.52,9.34,1.87,1.08,2.57,0.51,45,187,37.4,13,26,5.2,0.00,0.86
114,5,6/1/1993 18:35,6/3/1993 2:55,1,0.64,0.12,0.1,0.11,0.09,0.08,0.287,32.333,0.02,0,0.599,0.615,74,40,55,0.74,0,0,P,,,1,,6/1/1993,6/5/1993,6,1993,118,315.28,63.06,84.38,147.07,29.41,13,34.63,6.93,8.7,15.99,3.2,45,189,37.8,13,29,5.8,0.00,0.64
115,4,6/7/1993 1:00,6/8/1993 1:05,2,1.52,2.16,1.91,1.46,0.9,0.77,9.573,24.083,0.063,0,0.147,0.759,84,60,69,1.28,0,0,P,,,1,,6/7/1993,6/10/1993,6,1993,692.1,1615.79,403.95,587.75,1198.39,299.6,225.29,289.48,72.37,218.4,261.92,65.48,97,269,67.25,59,117,29.25,0.00,1.52
116,3,6/13/1993 9:55,6/14/1993 3:15,2,0.93,1.22,1.21,1.09,0.66,0.38,4.402,17.333,0.054,0,0,0.029,84,56,69,1.04,0,0,P,,,1,,6/13/1993,6/15/1993,6,1993,168.3,295.06,98.35,106.45,109.51,36.5,28.39,39.72,13.24,23.13,23.94,7.98,58,131,43.67,23,26,8.67,0.00,0.93
117,5,6/16/1993 9:30,6/17/1993 22:35,2,1.31,2.23,2,1.66,1.12,0.67,10.231,37.083,0.035,0,0.928,0.928,87,56,70,1.57,0,0,P,,,1,,6/16/1993,6/20/1993,6,1993,1975.35,3256.13,651.23,1880.27,2813.96,562.79,449.29,740.1,148.02,437.2,686.48,137.3,141,370,74,92,139,27.8,0.00,1.31
118,3,6/24/1993 10:40,6/26/1993 15:40,3,0.72,1.13,0.95,0.7,0.44,0.25,-7.473,53,0.014,0,0,0.183,86,59,73,0.33,0,0,P,,,1,,6/24/1993,6/26/1993,6,1993,84.12,220.87,73.62,17.85,22.06,7.35,11.34,29.78,9.93,2.47,3.17,1.06,53,139,46.33,11,13,4.33,0.00,0.72
119,6,6/28/1993 3:20,6/30/1993 1:55,2,2.06,2.32,1.82,1.62,1.24,0.88,19.815,46.583,0.044,0,0.209,0.719,88,59,71,1.51,0,0,P,,,1,,6/28/1993,7/3/1993,6,1993,4493.65,5762.34,960.39,4424.99,5231.8,871.97,1291.36,1554.27,259.05,1281.82,1479.31,246.55,234,543,90.5,190,271,45.17,0.00,2.06
120,4,7/4/1993 18:25,7/5/1993 23:55,1,1.72,1.79,1.38,1.03,0.54,0.47,6.69,29.5,0.058,0,0.119,1.452,81,63,72,1.54,0,0,P,,,1,,7/4/1993,7/7/1993,7,1993,2108.75,3557.94,889.49,1980.8,2986.86,746.72,400.29,576.22,144.06,381.89,496.55,124.14,151,390,97.5,103,181,45.25,0.00,1.72
121,8,7/8/1993 20:15,7/13/1993 13:30,4,4.88,4.78,3.97,3.48,2.93,1.64,91.791,113.25,0.043,0.18,0.185,1.899,85,56,72,5.92,0,0,P,,,1,,7/8/1993,7/15/1993,7,1993,24741.39,49557.87,6194.73,24554.16,48452.91,6056.61,8703.54,17354.7,2169.34,8679.07,17173.14,2146.64,844,2244,280.5,779,1873,170.27,0.00,4.88
122,4,7/17/1993 7:30,7/17/1993 13:05,1,1,1.39,1.27,1.19,0.93,0.61,7.205,5.583,0.178,0,0,0.22,84,60,73,0.76,0,0,P,,,1,,7/17/1993,7/20/1993,7,1993,1666.03,2236.95,559.24,1555.05,1793.03,448.26,481.14,537.6,134.4,468.94,488.8,122.2,156,416,104,84,128,32,0.00,1.00
123,5,7/25/1993 1:30,7/27/1993 10:15,2,0.63,1.49,1.4,1.17,0.74,0.39,2.876,56.75,0.011,0,0,0,88,62,76,0.66,0,0,P,,,1,,7/25/1993,7/29/1993,7,1993,110.24,437.24,87.45,26.28,70.15,14.03,12.03,47.54,9.51,2.89,7.72,1.54,83,355,71,17,40,8,0.00,0.63
124,4,7/31/1993 10:05,7/31/1993 14:40,1,0.77,0.91,0.91,0.83,0.63,0.38,3.479,4.583,0.169,0,0,0.322,85,59,71,0,0,0,P,,,1,,7/31/1993,8/3/1993,7,1993,229,532.14,133.04,162.61,281.28,70.32,45,95.26,23.82,37.82,68.7,17.18,84,286,71.5,23,48,12,0.00,0.77
125,2,8/6/1993 0:50,8/6/1993 12:15,1,0.33,0.59,0.52,0.51,0.44,0.32,1.121,11.417,0.029,0.003,0.018,0.023,75,53,64,0.01,0,0,P,,,1,,8/6/1993,8/7/1993,8,1993,154,225.38,112.69,82.62,82.62,41.31,32,39.26,19.63,24.74,24.74,12.37,73,134,67,14,16,8,0.00,0.33
126,2,8/9/1993 9:20,8/9/1993 22:35,1,0.37,1.09,1.07,0.96,0.62,0.35,1.866,13.25,0.028,0,0.037,0.381,85,66,75,0.47,0,0,P,,,1,,8/9/1993,8/10/1993,8,1993,131,216.92,108.46,59.62,74.16,37.08,28,36.45,18.23,20.74,21.93,10.97,69,134,67,10,16,8,0.00,0.37
127,3,8/14/1993 16:45,8/15/1993 9:55,1,1.73,3.04,2.76,2.4,1.66,0.93,25.656,17.167,0.101,0,0.124,0.132,86,69,77,1.27,0,0,P,,,1,,8/14/1993,8/16/1993,8,1993,1043.67,1656.97,552.32,963.28,1409.05,469.68,191.99,304.48,101.49,184.18,280.02,93.34,158,324,108,100,143,47.67,0.00,1.73
128,7,8/18/1993 11:35,8/23/1993 6:00,2,1.44,1.93,1.85,1.8,1.28,0.74,11.865,114.417,0.013,0,0.163,1.89,90,63,74,1.6,0,0,P,,,1,,8/18/1993,8/24/1993,8,1993,1059.37,2104.87,300.7,972.23,1421.45,203.06,197.49,331.67,47.38,188.65,266.23,38.03,129,575,82.14,64,387,32.25,0.00,1.44
